username,keyword,commits_before,commits_after,net_lines_before,net_lines_after,lines_added_before,lines_removed_before,lines_added_after,lines_removed_after
Bodhizafa,add,394,277,2643,954683,1470,1173,953840,843
L4ze3,add,79,17,5045,5504,2699,2346,5135,369
RavazziniAndrea,add,12,35,340,6309,296,44,5895,414
rajatcj,add,92,83,28537,104954,26770,1767,92974,11980
79150300ItsMe,add,456,544,15208,313062,4601,10607,297368,15694
yashwardhanchaudhuri,add,10,19,30,1509,22,8,1498,11
baumbit,add,351,63,5351,3310,2797,2554,2705,605
GeorgeWeiner,add,85,33,2510,71366,1744,766,71058,308
claudiocabrerayoung,add,14,40,879742,5116,878890,852,2666,2450
mittens4all,add,41,76,860,38283,796,64,24648,13635
V4refT5f,add,50,55,6995,12206,5117,1878,10192,2014
hassanrahim26,add,344,106,30497,106666,24258,6239,101200,5466
mmd1023,add,9,117,10237,2214267,10216,21,1119303,1094964
thisuripeiris,add,49,247,965719,2196497,948182,17537,1238344,958153
amanuense,add,23,45,161568,21239,161545,23,18069,3170
cripsum,add,160,1876,43653,46473,9637,34016,38865,7608
SINAxSNIPER,add,221,14,83297,9860,45543,37754,9034,826
darkblockgaming,add,325,836,4790,43754,3876,914,26600,17154
kaustubhmallik,add,6288,471,53825,21212,36333,17492,11137,10075
Rohit-Annamaneni-1207,add,18,51,5647,14214,5632,15,13444,770
orca-pet3910YT,add,207,90,9659,615,6515,3144,469,146
lukecaptaincode,add,52,19,96908,5036,73817,23091,2622,2414
CaptainRay1993,add,10,8,8241,179,4136,4105,83,96
QuazChick,add,188,48,29942,12355,18700,11242,9803,2552
dr-hextanium,add,354,172,54460,66848,43638,10822,43729,23119
MarwanAl-Obaidi,add,96,16,108625,3873,107734,891,3781,92
DanLeiria,add,79,90,179649,780520,177054,2595,559351,221169
alexsolus,add,255,111,228786,35477,162818,65968,24077,11400
sqoshi,add,57,27,57327,21198,40776,16551,12523,8675
Alien-Edds,add,104,113,108564,46958,108159,405,41322,5636
goodroach,add,94,61,18650,5204,10348,8302,3626,1578
thanyawat2554,add,5656,1219,705,8822,385,320,4821,4001
iinorin,add,69,13,1751069,3817,1746757,4312,3431,386
Rajat-XR,add,339,130,7698,21599,6308,1390,20205,1394
enhancedrock,add,52,97,1789,25442,1602,187,18795,6647
xx7Ahmed7xx,add,10,18,31175,243745,1614,29561,243458,287
Bayan-aboalrob,add,50,20,7981,15383,7969,12,15207,176
BBHNation,add,42,8,6864,230,6070,794,143,87
sillynilah,add,7,12,39,634,35,4,600,34
robbycorrs23,add,78,18,147642,578231,147032,610,572382,5849
soumyadebna,add,81,57,171635,106829,168160,3475,100770,6059
TimoKwok,add,42,31,68488,3937,67650,838,3184,753
Abdulrhman-Aliyan,add,871,6,640851,505,550521,90330,498,7
monsieurwinner,add,331,44,279,172,140,139,103,69
AquaFrostByte,add,186,108,645519,11541,342851,302668,7376,4165
r4cken,add,117,8,12427,240,9276,3151,130,110
rlphwkm,add,229,108,8260,68451,6324,1936,63121,5330
dbublik,add,4648,968,13818,63690,12635,1183,54136,9554
gentris,add,41,6,2865,46135,2559,306,32100,14035
rafascerqueira,add,16,5,10638,27662,5215,5423,24151,3511
steframony,add,8,54,148835,261711,85573,63262,251118,10593
JazielGuerrero,add,385,291,73828,143865,45511,28317,88377,55488
dsmitchell,add,60,12,14269,3304,7170,7099,2533,771
cjhubgit,add,304,156,409448,2791034,408639,809,2732787,58247
kales0,add,29,8,67443,269,65681,1762,223,46
dabouav,add,7,13,19,786,12,7,544,242
lustyrain,add,11,6,5006,6862,3593,1413,6473,389
arsley,add,7,9,269,5533,51,218,392,5141
cenan,add,127,70,113754,18943,103098,10656,13142,5801
Svehla,add,87,58,37869,19988,31837,6032,11126,8862
entomb,add,9,60,6287,49882,6244,43,38833,11049
daedyu,add,327,107,69973,73184,58593,11380,67824,5360
Vatuu,add,87,2245,41584,120098,29336,12248,112002,8096
zackijack,add,104,40,10458,2411,7875,2583,1799,612
Super-Fusiom,add,35,26,576358,4255,4552,571806,3484,771
hi5,add,7,21,766,2546,452,314,1832,714
alexsniffin,add,8,7,24253,1604,21633,2620,1562,42
qjw,add,1347,57,2690,3332,1775,915,2717,615
saga0324,add,616,701,32843,33961,21038,11805,29976,3985
chrissloey,add,11,6,268,1428,199,69,1058,370
Mattia-Zanini,add,109,92,561718,466935,303062,258656,428187,38748
Jackroyal,add,17331,15592,8518,234502,6894,1624,42991,191511
VelocityPulse,add,30,18,59605,2049,52823,6782,1245,804
201flaviosilva,add,47,22,42891,97122,39085,3806,46578,50544
kagura114,add,320,124,25565,38478,22629,2936,36145,2333
YuYuCong,add,16,21,2915,31248,2267,648,22869,8379
a-sayyed,add,8,8,255,318,221,34,155,163
Speretta,add,172,30,18340,2226,5776,12564,1638,588
harmenjanssen,add,22,9,20092,8758,11416,8676,8664,94
kevinacahalan,add,41,102,149028,16758,148071,957,13856,2902
rheard,add,26,462,4250,22893,2387,1863,12893,10000
blockedby,add,10,525,150996,81295,126661,24335,66937,14358
Akhouad,add,1837,954,24526,23645,13550,10976,19169,4476
lgblgblgb,add,163,133,27330,80951,21408,5922,62019,18932
wwest4,add,161,12,32566,138,29123,3443,78,60
spacecollapse,add,176,13,2294,121,1506,788,104,17
lingfeng1920,add,22,48,1056,41740,788,268,33040,8700
PaeP3nguin,add,56,25,47008,3031,16259,30749,1638,1393
madongfly,add,3243,6528,14189,39008,10611,3578,23532,15476
troyeagle,add,192,10,14087,633,12284,1803,515,118
mingd0d,add,357,424,23495,56697,21620,1875,46687,10010
Micxxo,add,99,19,56699,14368,48802,7897,13886,482
alexturek,add,14,5,482,40,432,50,28,12
jeffbrin,add,182,171,28747,82864,19804,8943,54011,28853
Hiddengemx,add,25,29,2582143,90619,1297691,1284452,89492,1127
devHeadset,add,48,63,2040,6883,1748,292,6563,320
jmelvnsn,add,96,125,143337,104431,96375,46962,72027,32404
Sirius-A,add,29,75,3040,2517,2095,945,2128,389
fdawg4l,add,437,313,32311,18284,27531,4780,14802,3482
HRiver2,add,94,62,11212,6015,4359,6853,5340,675
musubipapi,add,7,5257,2617,121383,2614,3,98943,22440
gagarski,add,170,48,82758,19230,30607,52151,14263,4967
gaessaki,add,19,84,103,5003,103,0,3269,1734
thepeacemonk,add,619,1010,2448,63232,1701,747,52212,11020
Jayjjjjj,add,56,28,756,12816,617,139,11903,913
arshzip,add,54,10,140181,371,140114,67,358,13
arch4e,add,54,47,15276,8504,11317,3959,6489,2015
Mabubakr2001,add,2800,267,557,11383,481,76,9562,1821
Ghostcatlol,add,183,68,20242,5006,13946,6296,3245,1761
code-xD,add,1391,202,32041,12414,14254,17787,11787,627
mikangogo,add,1229,1198,62888,27434,56524,6364,21913,5521
shivamtomar10,add,24,21,256,26221,253,3,26175,46
vandershraaf,add,4001,717,9824,4230,5150,4674,3038,1192
codesynctask,add,31,26,10194,65903,6680,3514,62570,3333
AlifaGian,add,332,14,69408,3717,41403,28005,3690,27
StarSein,add,423,176,12638,5902,12418,220,5845,57
coltonk9043,add,1231,518,87860,77015,55159,32701,35482,41533
ishaqibrahimbot,add,115,48,53404,207176,38850,14554,112931,94245
JoseRoque,add,27,27,1154,30451,917,237,24026,6425
Fixzbug,add,97,121,731723,2287742,318851,412872,1460400,827342
thisiszy,add,36,31,4368,8241,2256,2112,6335,1906
jeska,add,9,10,266,5394,173,93,5325,69
nigelberewere,add,186,432,4800,500307,2540,2260,480188,20119
soamara,add,8,9,4183,2515,4077,106,1675,840
Just9krish,add,53,103,2298,121212,1968,330,95700,25512
OniOkami666,add,22,188,973,6576,929,44,4459,2117
