username,keyword,commits_before,commits_after,net_lines_before,net_lines_after,lines_added_before,lines_removed_before,lines_added_after,lines_removed_after
RabidLover,add,0,0,0,0,0,0,0,0
andrewslotin,add,330,8,37836,189,23082,14754,80,109
ResearchBuzz,add,3,3,21,1592,19,2,1312,280
mrdothassan,add,0,15,0,134,0,0,86,48
higoralenca,add,10,3,12072,8491,12034,38,8491,0
ImLuze,add,135,0,8213,0,4359,3854,0,0
1x33x7,add,0,0,0,0,0,0,0,0
Jordon-Perkins,add,0,0,0,0,0,0,0,0
Petercollins205,add,12,1,357557,2,357547,10,2,0
ja-dore,add,0,46,0,16168,0,0,11632,4536
ss-o,add,122,130,43567,127189,19833,23734,92648,34541
beatrupp,add,1302,32,3008345,1892,1507702,1500643,1621,271
ArielReplicate,add,0,0,0,0,0,0,0,0
IvanJelica,add,0,0,0,0,0,0,0,0
devops4me,add,0,0,0,0,0,0,0,0
huegoal,add,0,0,0,0,0,0,0,0
MaskofDevil,add,0,9,0,3073,0,0,3066,7
Azshurith,add,89,102,88297,37006,84263,4034,29493,7513
KITTYCLYSM,add,0,0,0,0,0,0,0,0
AntonioReinaDev,add,0,2,0,4,0,0,0,4
eturn27,add,0,0,0,0,0,0,0,0
caiovale1921,add,0,0,0,0,0,0,0,0
Athesdrake,add,20,47,6671,2771,3349,3322,1637,1134
guillesiesta,add,10,0,13442,0,13388,54,0,0
Xevrac,add,289,106,331934,231421,233903,98031,190818,40603
bigtallbill,add,211,31,9848,10488,8659,1189,10351,137
LuckedCoronet,add,0,2,0,33,0,0,17,16
nezposture,add,0,10,0,88,0,0,47,41
ursinestarz,add,0,0,0,0,0,0,0,0
0x01-sec,add,0,0,0,0,0,0,0,0
jiaowomomo,add,3,0,64,0,59,5,0,0
DustinAnthonyCoffman,add,0,0,0,0,0,0,0,0
Yifinity,add,36,29,6691,1333303,6260,431,1122819,210484
herikaniugu,add,2,0,4358,0,4355,3,0,0
LakeshoreStrangler,add,0,141,0,538,0,0,330,208
rbalman,add,565,86,130335,147353,68089,62246,23799,123554
valraes,add,18,0,99,0,52,47,0,0
Navalag,add,0,0,0,0,0,0,0,0
deanmayne,add,0,0,0,0,0,0,0,0
crescentdawnn,add,0,0,0,0,0,0,0,0
darkemperorfinn,add,0,8,0,68,0,0,36,32
tripdog,add,0,0,0,0,0,0,0,0
gumpleton,add,1,3,7,11,7,0,3,8
CreminiCollective,add,0,0,0,0,0,0,0,0
ChineduVickreg,add,59,0,6330,0,6041,289,0,0
tabs,add,402,3,47496,461,33136,14360,441,20
mammaddrik,add,144,370,52655,1061,51096,1559,504,557
EpicSquid,add,11,1,1212,100,1105,107,100,0
Ujjawal0619,add,18,12,11953,2348,11810,143,2169,179
a-cole55,add,60,4,555642,1818,312484,243158,1632,186
samplemails,add,0,0,0,0,0,0,0,0
tomaisinrua,add,13,0,370,0,350,20,0,0
Mohammed-Aljasem,add,2,25,388278,598808,388232,46,300089,298719
SaltineChips,add,0,0,0,0,0,0,0,0
rozeyfro,add,0,0,0,0,0,0,0,0
The-Phantom-Of-The-Opera,disabled,0,0,0,0,0,0,0,0
kevinthedang,add,136,36,25162,5121,18876,6286,2541,2580
Oliviarobin,add,0,0,0,0,0,0,0,0
akhileshyolo,add,0,0,0,0,0,0,0,0
byoksul,add,11,0,19903,0,19809,94,0,0
kawzbit,add,10,13,23314,4984,22747,567,4784,200
