username,keyword,category,commits_before,commits_after,net_lines_before,net_lines_after,lines_added_before,lines_removed_before,lines_added_after,lines_removed_after,prs_merged_before,prs_merged_after,total_prs_before,total_prs_after,acceptance_rate_before,acceptance_rate_after,ai_commit_count_before,ai_commit_count_after,ai_commit_ratio_before,ai_commit_ratio_after,ai_first_seen,mentions_copilot,mentions_copilot_before,mentions_copilot_after,mentions_chatgpt,mentions_chatgpt_before,mentions_chatgpt_after,mentions_claude,mentions_claude_before,mentions_claude_after,mentions_gemini,mentions_gemini_before,mentions_gemini_after,mentions_bing,mentions_bing_before,mentions_bing_after,mentions_grok,mentions_grok_before,mentions_grok_after,mentions_other_tools,mentions_other_tools_before,mentions_other_tools_after,mentions_general_ai,mentions_general_ai_before,mentions_general_ai_after
lewinskie254,adhd,non-physical,66,135,11148,557602,11016,132,550518,7084,0,0,0,0,0.0,0.0,0,9,0.0,0.0666666666666666,2025-01-14 22:14:55+00:00,0,0,0,7,0,7,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elindiotaino,adhd,non-physical,107,20,4422,6436,2609,1813,5633,803,0,1,0,1,0.0,1.0,0,1,0.0,0.05,2025-10-23 22:32:11+00:00,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PWok,adhd,non-physical,127,36,13045,100888,9959,3086,98491,2397,11,0,12,1,0.9166666666666666,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gustavosouzavs,adhd,non-physical,107,12,9802,12195,7280,2522,10382,1813,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hyenaheartbeats,adhd,non-physical,1744,1191,7904,13258,4899,3005,8691,4567,0,1,0,1,0.0,1.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flippnswithez,disabled,physical,86,38,2312,4144,1645,667,4021,123,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flippnswithez,disabled,non-physical,86,38,2312,4144,1645,667,4021,123,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flippnswithez,disabled,disabled,86,38,2312,4144,1645,667,4021,123,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kartik-Kashyap,adhd,non-physical,20,192,1388,4800,768,620,2363,2437,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TecTobi,adhd,non-physical,231,133,4128,25426,2803,1325,18414,7012,0,3,0,3,0.0,1.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nikoniko78,adhd,non-physical,569,67,1056,5864,762,294,5610,254,1,0,1,0,1.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RuriMitsuki,asd,non-physical,246,17,30257,222999,18604,11653,222995,4,2,0,4,0,0.5,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yyovil,adhd,non-physical,8,3754,260605,202633,260601,4,173187,29446,0,0,1,3,0.0,0.0,0,3,0.0,0.000799147575919,2025-08-09 10:06:06+00:00,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cookierash,adhd,non-physical,104,13,4283,52224,3949,334,47390,4834,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chen-Myae2K,adhd,non-physical,35,86,1195,111636,687,508,100111,11525,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
theodoros1234,adhd,non-physical,110,134,16120,31201,12574,3546,25481,5720,0,4,0,4,0.0,1.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kazisabu,adhd,non-physical,82,70,12958,4637,10582,2376,2770,1867,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PluckyDevv,asd,non-physical,15,16,933,1604,618,315,1414,190,0,2,0,2,0.0,1.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fipachu,adhd,non-physical,212,16,11212,2149,8085,3127,1562,587,1,0,1,0,1.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rennasccenth,adhd,non-physical,141,276,10464,29688,6750,3714,25189,4499,0,10,0,10,0.0,1.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
angelsk,adhd,non-physical,13,11,143,63,82,61,42,21,1,0,1,0,1.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AymenStudios,adhd,non-physical,828,38,21617,37170,16747,4870,37079,91,2,0,3,0,0.6666666666666666,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
haysberg,adhd,non-physical,85,219,10179,93974,7239,2940,42655,51319,0,1,1,1,0.0,1.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gcw,adhd,non-physical,43,1342,717,12863,484,233,9798,3065,0,0,0,0,0.0,0.0,0,7,0.0,0.0052160953800298,2025-08-03 11:28:55+00:00,0,0,0,2,0,2,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
awall9999,adhd,non-physical,15,10,61547,62508,57777,3770,62462,46,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstralexis,adhd,non-physical,605,22,67359,9874,50973,16386,9799,75,1,0,1,0,1.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gimbo,adhd,non-physical,29,15,1907,1030,1662,245,792,238,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fotkurz,adhd,non-physical,71,400,17438,59652,15428,2010,48777,10875,7,0,9,1,0.7777777777777778,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
finsterdexter,adhd,non-physical,5044,7,996,390017,608,388,195169,194848,0,0,1,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloudhakasekumo403,adhd,non-physical,76,225,198939,23587,193619,5320,18192,5395,5,0,7,0,0.7142857142857143,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Longor1996,autism,non-physical,26,8,1096,1333,862,234,1306,27,0,0,0,1,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
krystofkrticka,audhd,non-physical,56119,108808,7172,7837,6829,343,7088,749,73,53,79,58,0.9240506329113924,0.913793103448276,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wooffet,adhd,non-physical,994,812,9861,98316,5621,4240,61739,36577,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
astralbodies,adhd,non-physical,982,565,93664,31884,57081,36583,21934,9950,0,0,1,0,0.0,0.0,0,2,0.0,0.0035398230088495,2025-11-23 13:18:51+00:00,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chichiwenk,adhd,non-physical,65,34,2114,163,1218,896,100,63,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Larsh512,autism,non-physical,44,96,9820,53695,9503,317,48865,4830,0,2,0,2,0.0,1.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d1vasaa,autism,non-physical,12,14,297095,1130,297037,58,1114,16,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kirknguyenle,autism,non-physical,36,35,434315,952791,430396,3919,928750,24041,0,0,1,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhruv00000,autism,non-physical,77,44,7099,6163,5882,1217,5056,1107,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YoShibyl,autism,non-physical,92,31,15144,13646,11022,4122,10531,3115,1,0,1,0,1.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zelif-773,autism,non-physical,21,51,1471,10732,1407,64,7240,3492,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
akumar21021,autism,non-physical,15,8,347,484,294,53,484,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0m31unkn0wn,autism,non-physical,12,17,4249,9422,4245,4,7363,2059,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
