username,keyword,category,commits_before,commits_after,net_lines_before,net_lines_after,lines_added_before,lines_removed_before,lines_added_after,lines_removed_after,prs_merged_before,prs_merged_after,total_prs_before,total_prs_after,acceptance_rate_before,acceptance_rate_after,ai_commit_count_before,ai_commit_count_after,ai_commit_ratio_before,ai_commit_ratio_after,ai_first_seen,mentions_copilot,mentions_copilot_before,mentions_copilot_after,mentions_chatgpt,mentions_chatgpt_before,mentions_chatgpt_after,mentions_claude,mentions_claude_before,mentions_claude_after,mentions_gemini,mentions_gemini_before,mentions_gemini_after,mentions_bing,mentions_bing_before,mentions_bing_after,mentions_grok,mentions_grok_before,mentions_grok_after,mentions_other_tools,mentions_other_tools_before,mentions_other_tools_after,mentions_general_ai,mentions_general_ai_before,mentions_general_ai_after
kljzndx,disabled,non-disabled,451,526,21659,1813,17475,4184,1044,769,0,0,0,0,0,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WinaGea,visually impaired,non-disabled,72,187,23657,34011,23657,0,30187,3824,0,1,0,1,0,1,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
josebohorquez1,visually impaired,non-disabled,87,185,2803729,40314,2406815,396914,32935,7379,0,0,0,0,0,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
williamjstanton,visually impaired,non-disabled,609,714,296540,182866,174172,122368,122568,60298,0,8,0,10,0,0,0,6,0.0,0.0084033613445378,2025-11-03 18:02:57+00:00,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
vvvv1111vvvv,blind,non-disabled,203,17,49777,71353,45741,4036,71340,13,0,0,0,0,0,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBO-BrutusAlbion,blind,non-disabled,35,109,13160,62186,5253,7907,53918,8268,0,0,0,0,0,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DREK69,blind,non-disabled,214,454,2605,21963,1589,1016,12520,9443,0,0,0,0,0,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roseleaves,blind,non-disabled,21,380,2100,142976,2042,58,66047,76929,0,0,0,0,0,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROFLING,blind,non-disabled,11,21,4033,26207,4014,19,25255,952,0,0,0,0,0,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Youthername,blind,non-disabled,8,8,21292,2391,21292,0,2289,102,0,0,0,0,0,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
idkpmiller,blind,non-disabled,155,35,38664,2258,10344,28320,1895,363,0,0,0,0,0,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nkyozkz,blind,non-disabled,543,8,25248,9611,20637,4611,8993,618,0,0,0,0,0,0,3,0,0.005524861878453,0.0,2024-04-04 19:06:45+00:00,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zoaib-Sir,blind,non-disabled,27,20,16288,3496,15999,289,3375,121,0,0,0,0,0,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JuzHarii,blind,non-disabled,279,114,74279,224158,33884,40395,167183,56975,0,3,0,3,0,1,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M0M0KO,blind,non-disabled,154,263,4355,1705884,1349,3006,1701128,4756,0,0,0,0,0,0,1,0,0.0064935064935064,0.0,2024-10-29 01:36:05+00:00,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
shirishshrestha,blind,non-disabled,120,425,291745,308533,287899,3846,219773,88760,2,29,2,29,1,1,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pamasi,blind,non-disabled,86,55,130395,6234,101170,29225,4107,2127,8,1,8,2,1,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wSanice,blind,non-disabled,60,159,4461,1548642,4345,116,1028371,520271,0,1,0,1,0,1,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Redomine,blind,non-disabled,63,28,326738,1509,324367,2371,1207,302,2,41,2,42,1,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
praneethkvs,blind,non-disabled,43,130,144717,37450,143140,1577,36260,1190,0,0,0,0,0,0,0,5,0.0,0.0384615384615384,2025-07-06 16:59:11+00:00,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,2,0,2
marigostra,blind,non-disabled,15,12,1211,1634,1083,128,1410,224,0,0,0,0,0,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zeeshan-shafeek,blind,non-disabled,8,10,848,1191,695,153,1167,24,0,0,0,0,0,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
liamerven,blind,non-disabled,573,55,45941,2312,16528,29413,1674,638,0,0,0,0,0,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KreerC,blind,non-disabled,154,93,34310,8609,25709,8601,5600,3009,1,0,1,0,1,0,1,0,0.0064935064935064,0.0,2024-03-24 16:28:48+00:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nanabingies,blind,non-disabled,466,67,8141,3489,4679,3462,3217,272,0,0,1,0,0,0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
